symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
CGPOWER,bollinger_meanrev,MIS,2026-06-04 10:50:00,2026-06-04 11:10:00,947.7,948.4,31,-21.7,-52.87,-0.08,trailing_stop
DABUR,bollinger_meanrev,MIS,2026-06-04 10:50:00,2026-06-04 11:10:00,425.0,425.6857142857143,70,-48.0,-79.58,-0.3,trailing_stop
LICHSGFIN,bollinger_meanrev,MIS,2026-06-04 10:50:00,2026-06-04 12:00:00,545.35,544.2857142857142,55,58.54,26.77,0.39,trailing_stop
WIPRO,bollinger_meanrev,MIS,2026-06-04 10:55:00,2026-06-04 11:00:00,204.6,204.06,146,78.84,47.21,0.63,trailing_stop
ADANIENSOL,bollinger_meanrev,MIS,2026-06-04 11:00:00,2026-06-04 11:50:00,1517.6,1507.7,19,188.1,157.64,1.09,target_mid_band
NAUKRI,bollinger_meanrev,MIS,2026-06-04 11:10:00,2026-06-04 11:55:00,1021.7,1019.7642857142857,29,56.14,24.75,0.28,trailing_stop
SUPREMEIND,bollinger_meanrev,MIS,2026-06-04 11:15:00,2026-06-04 12:05:00,3673.8,3678.042857142857,8,-33.94,-65.13,-0.19,trailing_stop
COALINDIA,bollinger_meanrev,MIS,2026-06-04 11:25:00,2026-06-04 13:10:00,481.7,481.0,62,43.4,11.76,0.27,target_mid_band
HAVELLS,bollinger_meanrev,MIS,2026-06-04 11:25:00,2026-06-04 11:55:00,1171.6,1174.0857142857144,25,-62.14,-93.24,-0.58,trailing_stop
RECLTD,bollinger_meanrev,MIS,2026-06-04 11:40:00,2026-06-04 12:05:00,332.85,334.4857142857143,90,-147.21,-179.08,-0.97,trailing_stop
BSE,bollinger_meanrev,MIS,2026-06-04 11:45:00,2026-06-04 12:45:00,4092.6,4086.5,7,42.7,12.35,0.2,trailing_stop
PFC,bollinger_meanrev,MIS,2026-06-04 11:45:00,2026-06-04 13:05:00,426.9,426.1,70,56.0,24.35,0.29,target_mid_band
GMRAIRPORT,bollinger_meanrev,MIS,2026-06-04 11:50:00,2026-06-04 12:50:00,103.14,102.57,290,165.3,133.69,0.46,target_mid_band
CUMMINSIND,bollinger_meanrev,MIS,2026-06-04 12:10:00,2026-06-04 12:15:00,5855.0,5855.285714285715,5,-1.43,-32.47,-0.01,trailing_stop
IRCTC,bollinger_meanrev,MIS,2026-06-04 12:10:00,2026-06-04 13:10:00,530.5,528.2928571428572,56,123.6,92.18,0.94,trailing_stop
SBILIFE,bollinger_meanrev,MIS,2026-06-04 12:25:00,2026-06-04 13:05:00,1778.9,1779.2285714285713,16,-5.26,-35.44,-0.06,trailing_stop
AUROPHARMA,bollinger_meanrev,MIS,2026-06-04 12:40:00,2026-06-04 13:25:00,1474.1,1478.2428571428572,20,-82.86,-114.17,-0.64,trailing_stop
ABCAPITAL,bollinger_meanrev,MIS,2026-06-04 12:55:00,2026-06-04 13:45:00,356.0,355.60714285714283,84,33.0,1.31,0.24,trailing_stop
CHOLAFIN,bollinger_meanrev,MIS,2026-06-04 13:00:00,2026-06-04 13:05:00,1489.3,1488.9,20,8.0,-23.58,0.07,trailing_stop
TATACAP,bollinger_meanrev,MIS,2026-06-04 13:05:00,2026-06-04 13:10:00,309.55,310.2,96,-62.4,-93.95,-0.61,trailing_stop
TATACOMM,bollinger_meanrev,MIS,2026-06-04 13:15:00,2026-06-04 14:00:00,1991.2,1999.9571428571428,15,-131.36,-163.11,-0.65,trailing_stop
BAJAJ-AUTO,bollinger_meanrev,MIS,2026-06-04 13:40:00,2026-06-04 14:10:00,10385.0,10417.857142857143,2,-65.71,-87.78,-0.54,trailing_stop
TVSMOTOR,bollinger_meanrev,MIS,2026-06-04 13:40:00,2026-06-04 14:50:00,3386.1,3364.7,8,171.2,142.58,1.15,target_mid_band
TMCV,bollinger_meanrev,MIS,2026-06-04 14:20:00,2026-06-04 14:55:00,378.05,376.85,79,94.8,63.19,0.87,target_mid_band
POWERGRID,bollinger_meanrev,MIS,2026-06-04 14:25:00,2026-06-04 15:10:00,283.95,284.57142857142856,105,-65.25,-96.91,-0.7,trailing_stop
PNB,bollinger_meanrev,MIS,2026-06-04 14:30:00,2026-06-04 15:15:00,102.76,102.76,291,-0.0,-31.71,-0.0,forced_close
AUBANK,bollinger_meanrev,MIS,2026-06-04 14:35:00,2026-06-04 15:00:00,960.0,961.9071428571428,31,-59.12,-90.72,-0.62,trailing_stop
INDIANB,bollinger_meanrev,MIS,2026-06-04 14:35:00,2026-06-04 15:15:00,821.45,818.65,36,100.8,69.5,1.1,target_mid_band
