symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
RELIANCE,camarilla,MIS,2026-06-04 11:55:00,2026-06-04 13:05:00,1304.2,1300.55,23,83.95,52.19,0.42,target_hit
ICICIBANK,camarilla,MIS,2026-06-04 11:55:00,2026-06-04 14:15:00,1255.0,1261.03,23,138.69,107.99,0.42,target_hit
RELIANCE,camarilla,MIS,2026-06-05 10:55:00,2026-06-05 11:00:00,1294.0,1293.745,23,5.87,-25.69,0.03,target_hit
ICICIBANK,camarilla,MIS,2026-06-05 12:00:00,2026-06-05 15:15:00,1261.0,1262.3,23,29.9,-0.88,0.09,forced_close
HDFCBANK,camarilla,MIS,2026-06-05 12:50:00,2026-06-05 13:30:00,750.0,747.4350000000001,40,102.6,70.85,0.51,target_hit
RELIANCE,camarilla,MIS,2026-06-09 15:05:00,2026-06-09 15:15:00,1270.1,1269.3,23,-18.4,-49.37,-0.07,forced_close
RELIANCE,camarilla,MIS,2026-06-10 15:05:00,2026-06-10 15:10:00,1261.0,1260.015,23,22.65,-8.09,0.08,target_hit
HDFCBANK,camarilla,MIS,2026-06-11 12:05:00,2026-06-11 13:20:00,752.25,748.8214285714286,39,-133.71,-164.74,-0.41,trailing_stop
RELIANCE,camarilla,MIS,2026-06-11 12:15:00,2026-06-11 13:40:00,1273.2,1266.0357142857142,23,-164.78,-195.73,-0.79,trailing_stop
RELIANCE,camarilla,MIS,2026-06-12 13:30:00,2026-06-12 13:35:00,1273.0,1275.54,23,58.42,27.33,0.25,target_hit
ICICIBANK,camarilla,MIS,2026-06-12 13:35:00,2026-06-12 14:50:00,1335.5,1342.575,22,155.65,124.39,0.82,target_hit
ICICIBANK,camarilla,MIS,2026-06-15 13:50:00,2026-06-15 15:00:00,1332.4,1326.72,22,124.96,93.96,0.58,target_hit
HDFCBANK,camarilla,MIS,2026-06-16 11:20:00,2026-06-16 11:50:00,784.5,787.195,38,102.41,70.73,0.62,target_hit
HDFCBANK,camarilla,MIS,2026-06-17 14:05:00,2026-06-17 14:10:00,789.0,789.4375,38,16.62,-15.18,0.1,target_hit
RELIANCE,camarilla,MIS,2026-06-18 12:10:00,2026-06-18 12:15:00,1325.2,1323.3500000000001,22,40.7,9.81,0.25,target_hit
ICICIBANK,camarilla,MIS,2026-06-18 12:10:00,2026-06-18 12:30:00,1342.1,1343.73,22,35.86,4.53,0.14,target_hit
ICICIBANK,camarilla,MIS,2026-06-19 11:10:00,2026-06-19 14:25:00,1349.0,1350.825,22,40.15,8.65,0.28,target_hit
RELIANCE,camarilla,MIS,2026-06-19 13:05:00,2026-06-19 14:20:00,1324.6,1321.5549999999998,22,66.99,36.13,0.39,target_hit
HDFCBANK,camarilla,MIS,2026-06-22 13:35:00,2026-06-22 13:50:00,786.5,786.8675,38,13.96,-17.74,0.11,target_hit
RELIANCE,camarilla,MIS,2026-06-23 13:30:00,2026-06-23 15:10:00,1317.3,1309.56,22,170.28,139.66,1.22,target_hit
ICICIBANK,camarilla,MIS,2026-06-23 14:45:00,2026-06-23 15:00:00,1348.0,1344.535,22,76.23,44.83,0.44,target_hit
RELIANCE,camarilla,MIS,2026-06-24 13:10:00,2026-06-24 15:10:00,1319.3,1311.25,22,-177.1,-207.77,-0.81,trailing_stop
ICICIBANK,camarilla,MIS,2026-06-25 11:15:00,2026-06-25 11:55:00,1388.2,1393.9499999999998,21,120.75,89.76,0.63,target_hit
HDFCBANK,camarilla,MIS,2026-06-25 11:45:00,2026-06-25 14:10:00,800.3,798.7,37,-59.2,-90.56,-0.3,trailing_stop
HDFCBANK,camarilla,MIS,2026-06-29 15:15:00,2026-06-29 15:20:00,799.25,799.25,37,0.0,-31.36,0.0,forced_close
ICICIBANK,camarilla,MIS,2026-06-30 11:35:00,2026-06-30 12:10:00,1380.2,1377.26,21,61.74,31.04,0.19,target_hit
RELIANCE,camarilla,MIS,2026-06-30 14:00:00,2026-06-30 15:15:00,1293.1,1294.8,23,-39.1,-70.66,-0.19,forced_close
RELIANCE,camarilla,MIS,2026-07-02 10:55:00,2026-07-02 11:30:00,1302.0,1299.365,23,60.6,28.89,0.23,target_hit
RELIANCE,camarilla,MIS,2026-07-03 11:55:00,2026-07-03 13:25:00,1309.3,1303.6857142857143,22,-123.51,-153.98,-0.68,trailing_stop
ICICIBANK,camarilla,MIS,2026-07-03 12:20:00,2026-07-03 12:50:00,1413.7,1415.51,21,38.01,6.5,0.21,target_hit
RELIANCE,camarilla,MIS,2026-07-07 11:40:00,2026-07-07 15:15:00,1312.4,1306.89,22,121.22,90.68,0.47,target_hit
HDFCBANK,camarilla,MIS,2026-07-07 12:05:00,2026-07-07 13:10:00,837.45,830.9642857142857,35,-227.0,-257.94,-1.31,trailing_stop
ICICIBANK,camarilla,MIS,2026-07-07 12:35:00,2026-07-07 12:50:00,1419.2,1415.9,21,69.3,37.74,0.32,target_hit
ICICIBANK,camarilla,MIS,2026-07-08 11:50:00,2026-07-08 12:00:00,1406.7,1402.05,21,97.65,66.39,0.43,target_hit
HDFCBANK,camarilla,MIS,2026-07-08 13:45:00,2026-07-08 13:55:00,823.05,820.005,36,109.62,78.27,0.44,target_hit
