symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
CANBK,camarilla,MIS,2026-06-04 10:55:00,2026-06-04 13:15:00,129.04,127.89071428571428,232,-266.63,-298.21,-0.55,trailing_stop
UPL,camarilla,MIS,2026-06-04 10:55:00,2026-06-04 15:00:00,642.05,638.625,46,157.55,126.33,0.43,target_hit
ZYDUSLIFE,camarilla,MIS,2026-06-04 10:55:00,2026-06-04 12:05:00,1085.5,1094.3099999999997,27,237.87,206.64,0.75,target_hit
ADANIENSOL,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 15:15:00,1517.6,1519.4,19,34.2,3.6,0.08,forced_close
ASTRAL,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 12:40:00,1527.5,1542.9642857142858,19,-293.82,-324.79,-0.84,trailing_stop
HDFCAMC,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 14:50:00,2490.5,2475.892857142857,12,-175.29,-206.87,-0.37,trailing_stop
JINDALSTEL,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 13:00:00,1201.3,1208.5785714285716,24,-174.69,-205.37,-0.61,trailing_stop
M&M,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 12:50:00,3036.6,3046.575,9,89.77,60.74,0.18,target_hit
MCX,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 11:35:00,2871.2,2892.285,10,210.85,180.27,0.4,target_hit
NMDC,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 12:35:00,95.02,94.709,315,97.96,66.29,0.2,target_hit
SRF,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 11:35:00,2702.3,2730.8428571428567,11,-313.97,-345.69,-1.06,trailing_stop
TATASTEEL,camarilla,MIS,2026-06-04 11:00:00,2026-06-04 12:00:00,210.22,212.15571428571428,142,-274.87,-306.7,-0.97,trailing_stop
GVT&D,camarilla,MIS,2026-06-04 11:05:00,2026-06-04 12:40:00,5099.5,5085.714285714285,5,-68.93,-95.92,-0.16,trailing_stop
LTF,camarilla,MIS,2026-06-04 11:05:00,2026-06-04 13:00:00,265.6,267.6321428571428,112,-227.6,-259.29,-0.53,trailing_stop
MUTHOOTFIN,camarilla,MIS,2026-06-04 11:05:00,2026-06-04 15:15:00,3181.7,3168.0,9,123.3,93.01,0.3,forced_close
PIIND,camarilla,MIS,2026-06-04 11:05:00,2026-06-04 15:00:00,2709.7,2702.4950000000003,11,79.25,47.7,0.25,target_hit
