trade_id,date,position_type,tradingsymbol,strike,expiry,quantity,entry_time,exit_time,entry_price,exit_price,entry_spot,exit_spot,exit_reason,gross_pnl,net_pnl
1,2026-06-04,SHORT_CE,NIFTY_1300_CE,1300,2026-06-04,65,2026-06-04 12:40:00,2026-06-04 14:05:00,10.408,11.908,1301.0,1304.0,SUPERTREND_FLIP_BULLISH,-97.5,-98.27983902204
2,2026-06-05,SHORT_CE,NIFTY_1300_CE,1300,2026-06-05,65,2026-06-05 10:55:00,2026-06-05 12:20:00,10.352,13.001999999999978,1294.0,1299.3,SUPERTREND_FLIP_BULLISH,-172.24999999999852,-173.07383587025853
3,2026-06-05,SHORT_CE,NIFTY_1300_CE,1300,2026-06-05,65,2026-06-05 13:05:00,2026-06-05 15:15:00,10.3464,9.5964,1293.3,1291.8,EOD_FORCED_SQUARE_OFF,48.75,48.068040080268
4,2026-06-08,SHORT_CE,NIFTY_1300_CE,1300,2026-06-08,65,2026-06-08 09:15:00,2026-06-08 15:15:00,10.2144,3.2644000000000677,1276.8,1262.9,EOD_FORCED_SQUARE_OFF,451.74999999999557,451.33514983642357
5,2026-06-10,SHORT_PE,NIFTY_1300_PE,1300,2026-06-10,65,2026-06-10 09:15:00,2026-06-10 10:10:00,10.312,13.012000000000045,1289.0,1283.6,SUPERTREND_FLIP_BEARISH,-175.50000000000296,-176.32315942956296
6,2026-06-10,SHORT_CE,NIFTY_1250_CE,1250,2026-06-10,65,2026-06-10 15:00:00,2026-06-10 15:15:00,10.076799999999999,9.22680000000009,1259.6,1257.9,EOD_FORCED_SQUARE_OFF,55.24999999999409,54.59078491011009
7,2026-06-12,SHORT_PE,NIFTY_1300_PE,1300,2026-06-12,65,2026-06-12 09:15:00,2026-06-12 12:10:00,10.2064,14.856399999999978,1275.8,1266.5,SUPERTREND_FLIP_BEARISH,-302.2499999999985,-303.1470291325305
8,2026-06-12,SHORT_PE,NIFTY_1300_PE,1300,2026-06-12,65,2026-06-12 13:35:00,2026-06-12 15:15:00,10.208,1.0,1276.0,1295.8,EOD_FORCED_SQUARE_OFF,598.52,598.1995569544799
9,2026-06-15,SHORT_PE,NIFTY_1300_PE,1300,2026-06-15,65,2026-06-15 09:15:00,2026-06-15 12:20:00,10.468,10.218,1308.5,1309.0,SUPERTREND_FLIP_BEARISH,16.25,15.53885092266
10,2026-06-16,SHORT_PE,NIFTY_1300_PE,1300,2026-06-16,65,2026-06-16 10:20:00,2026-06-16 15:05:00,10.571200000000001,7.671200000000024,1321.4,1327.2,SUPERTREND_FLIP_BEARISH,188.49999999999852,187.89201633914251
11,2026-06-19,SHORT_PE,NIFTY_1350_PE,1350,2026-06-19,65,2026-06-19 09:45:00,2026-06-19 10:55:00,10.679200000000002,14.329200000000093,1334.9,1327.6,SUPERTREND_FLIP_BEARISH,-237.2500000000059,-238.1380042534019
12,2026-06-19,SHORT_CE,NIFTY_1300_CE,1300,2026-06-19,65,2026-06-19 14:20:00,2026-06-19 15:15:00,10.5272,7.477199999999932,1315.9,1309.8,EOD_FORCED_SQUARE_OFF,198.25000000000443,197.65129143536845
13,2026-06-22,SHORT_PE,NIFTY_1350_PE,1350,2026-06-22,65,2026-06-22 09:20:00,2026-06-22 12:10:00,10.7392,15.939200000000046,1342.4,1332.0,SUPERTREND_FLIP_BEARISH,-338.00000000000296,-338.95664278569893
