symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
AXISBANK,orb_confluence,MIS,2026-06-05 10:25:00,2026-06-05 15:15:00,1271.1,1272.5,23,32.2,1.18,0.06,forced_close
LICHSGFIN,orb_confluence,MIS,2026-06-05 10:25:00,2026-06-05 12:30:00,550.3,548.5571428571428,54,-94.11,-125.57,-0.21,trailing_stop
MUTHOOTFIN,orb_confluence,MIS,2026-06-05 10:25:00,2026-06-05 11:35:00,3216.7,3169.6785714285716,9,-423.19,-453.62,-0.66,trailing_stop
WIPRO,orb_confluence,MIS,2026-06-05 10:25:00,2026-06-05 12:50:00,196.47,195.3785714285714,152,-165.9,-197.46,-0.29,trailing_stop
ADANIENSOL,orb_confluence,MIS,2026-06-05 10:30:00,2026-06-05 13:00:00,1564.3,1561.3642857142856,19,-55.78,-87.26,-0.08,trailing_stop
CHOLAFIN,orb_confluence,MIS,2026-06-05 10:30:00,2026-06-05 12:25:00,1526.0,1506.607142857143,19,-368.46,-398.98,-0.35,trailing_stop
AUROPHARMA,orb_confluence,MIS,2026-06-05 10:35:00,2026-06-05 15:15:00,1472.2,1463.0,20,184.0,152.89,0.4,forced_close
ICICIAMC,orb_confluence,MIS,2026-06-05 10:35:00,2026-06-05 15:15:00,3323.2,3250.9,9,650.7,619.4,1.34,forced_close
LUPIN,orb_confluence,MIS,2026-06-05 10:35:00,2026-06-05 12:10:00,2266.0,2281.707142857143,13,-204.19,-235.56,-0.48,trailing_stop
TATASTEEL,orb_confluence,MIS,2026-06-05 10:35:00,2026-06-05 14:25:00,206.4,205.96785714285716,145,62.66,30.96,0.12,trailing_stop
HINDZINC,orb_confluence,MIS,2026-06-05 10:40:00,2026-06-05 15:15:00,582.8,568.0,51,754.8,723.76,0.79,forced_close
BIOCON,orb_confluence,MIS,2026-06-05 10:50:00,2026-06-05 12:30:00,414.85,417.9214285714286,72,-221.14,-252.96,-0.57,trailing_stop
TIINDIA,orb_confluence,MIS,2026-06-05 10:50:00,2026-06-05 13:05:00,3141.0,3128.0,9,-117.0,-146.9,-0.33,trailing_stop
HDFCLIFE,orb_confluence,MIS,2026-06-05 11:05:00,2026-06-05 12:30:00,587.8,581.2642857142856,51,-333.32,-364.9,-0.74,trailing_stop
PHOENIXLTD,orb_confluence,MIS,2026-06-05 11:05:00,2026-06-05 13:10:00,1770.5,1756.5357142857142,16,-223.43,-253.33,-0.36,trailing_stop
GROWW,orb_confluence,MIS,2026-06-05 11:10:00,2026-06-05 13:10:00,196.25,194.90428571428572,152,-204.55,-236.05,-0.36,trailing_stop
POLICYBZR,orb_confluence,MIS,2026-06-05 11:55:00,2026-06-05 13:05:00,1552.0,1532.5000000000002,19,-370.5,-401.53,-0.84,trailing_stop
JINDALSTEL,orb_confluence,MIS,2026-06-05 13:50:00,2026-06-05 15:15:00,1172.0,1182.8,25,-270.0,-301.24,-0.74,forced_close
ADANIENT,orb_confluence,MIS,2026-06-05 15:25:00,2026-06-05 15:25:00,3043.0,3043.0,9,0.0,-29.04,0.0,eod_data_end
BAJAJHLDNG,orb_confluence,MIS,2026-06-08 10:25:00,2026-06-08 15:15:00,9992,9862,3,390,358.46,0.88,forced_close
BHARTIARTL,orb_confluence,MIS,2026-06-08 10:25:00,2026-06-08 15:15:00,1803.9,1811.0,16,113.6,82.92,0.28,forced_close
SRF,orb_confluence,MIS,2026-06-08 10:25:00,2026-06-08 11:45:00,2635.4,2664.435714285715,11,-319.39,-350.34,-0.58,trailing_stop
APOLLOHOSP,orb_confluence,MIS,2026-06-08 10:30:00,2026-06-08 12:20:00,8414.5,8431.785714285714,3,51.86,25.05,0.14,trailing_stop
CANBK,orb_confluence,MIS,2026-06-08 10:30:00,2026-06-08 15:15:00,129.68,127.83,231,427.35,395.86,0.7,forced_close
FORTIS,orb_confluence,MIS,2026-06-08 10:30:00,2026-06-08 15:00:00,998.05,991.8214285714286,30,-186.86,-218.49,-0.18,trailing_stop
GRASIM,orb_confluence,MIS,2026-06-08 10:30:00,2026-06-08 14:00:00,3062.6,3070.9357142857143,9,75.02,45.74,0.19,trailing_stop
PIDILITIND,orb_confluence,MIS,2026-06-08 10:30:00,2026-06-08 13:40:00,1467.1,1464.6785714285716,20,-48.43,-79.51,-0.11,trailing_stop
YESBANK,orb_confluence,MIS,2026-06-08 10:30:00,2026-06-08 13:15:00,23.47,23.327142857142853,1278,-182.57,-214.26,-0.3,trailing_stop
IDFCFIRSTB,orb_confluence,MIS,2026-06-08 11:00:00,2026-06-08 13:40:00,72.62,72.11714285714285,413,-207.68,-239.35,-0.44,trailing_stop
SWIGGY,orb_confluence,MIS,2026-06-08 11:15:00,2026-06-08 14:50:00,245.0,243.19285714285715,122,220.47,188.92,0.65,trailing_stop
OIL,orb_confluence,MIS,2026-06-08 12:20:00,2026-06-08 13:45:00,491.9,488.9642857142858,60,-176.14,-207.33,-0.42,trailing_stop
HINDALCO,orb_confluence,MIS,2026-06-08 12:50:00,2026-06-08 13:45:00,1078.4,1067.6357142857141,27,-290.64,-321.33,-1.07,trailing_stop
DIVISLAB,orb_confluence,MIS,2026-06-08 14:10:00,2026-06-08 15:15:00,6555.0,6521.0,4,136.0,108.28,0.64,forced_close
COALINDIA,orb_confluence,MIS,2026-06-08 14:55:00,2026-06-08 15:15:00,464.5,465.3,64,-51.2,-82.76,-0.27,forced_close
IDFCFIRSTB,orb_confluence,MIS,2026-06-09 10:25:00,2026-06-09 12:30:00,74.13,73.49428571428572,404,-256.83,-288.42,-0.41,trailing_stop
MOTILALOFS,orb_confluence,MIS,2026-06-09 10:25:00,2026-06-09 12:45:00,851.65,849.1607142857142,35,-87.13,-118.68,-0.11,trailing_stop
