symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
HDFCLIFE,orb_vwap,MIS,2026-06-05 09:30:00,2026-06-05 09:45:00,588.6,586.2,50,-120.0,-151.13,-0.72,vwap_cross
HINDZINC,orb_vwap,MIS,2026-06-05 09:30:00,2026-06-05 10:20:00,595.2,596.2,50,-50.0,-81.59,-0.22,vwap_cross
ADANIENT,orb_vwap,MIS,2026-06-05 09:35:00,2026-06-05 10:40:00,3046.5,3007.7,9,-349.2,-378.05,-0.75,vwap_cross
JINDALSTEL,orb_vwap,MIS,2026-06-05 09:40:00,2026-06-05 10:05:00,1182.3,1186.1,25,-95.0,-126.41,-0.81,vwap_cross
LICHSGFIN,orb_vwap,MIS,2026-06-05 09:40:00,2026-06-05 12:30:00,549.3,548.55,54,-40.5,-71.93,-0.5,vwap_cross
LUPIN,orb_vwap,MIS,2026-06-05 09:45:00,2026-06-05 12:20:00,2267.0,2284.7,13,-230.1,-261.5,-0.83,vwap_cross
TATASTEEL,orb_vwap,MIS,2026-06-05 09:45:00,2026-06-05 10:05:00,206.78,207.57,145,-114.55,-146.42,-0.82,vwap_cross
CHOLAFIN,orb_vwap,MIS,2026-06-05 09:50:00,2026-06-05 10:35:00,1497.0,1517.2,20,404.0,371.99,2.29,vwap_cross
WIPRO,orb_vwap,MIS,2026-06-05 09:50:00,2026-06-05 15:15:00,196.75,198.75,152,304.0,272.09,0.86,forced_close
ADANIENSOL,orb_vwap,MIS,2026-06-05 10:05:00,2026-06-05 13:00:00,1557.8,1562.8,19,95.0,63.55,0.42,vwap_cross
MUTHOOTFIN,orb_vwap,MIS,2026-06-05 10:05:00,2026-06-05 10:30:00,3222.8,3201.9,9,-188.1,-218.74,-0.93,vwap_cross
PHOENIXLTD,orb_vwap,MIS,2026-06-05 10:05:00,2026-06-05 10:25:00,1778.5,1757.5,16,-336.0,-365.96,-1.17,vwap_cross
TIINDIA,orb_vwap,MIS,2026-06-05 10:05:00,2026-06-05 13:05:00,3137.4,3127.0,9,-93.6,-123.48,-0.46,vwap_cross
AXISBANK,orb_vwap,MIS,2026-06-05 10:15:00,2026-06-05 10:35:00,1264.7,1255.8,23,-204.7,-235.42,-1.09,vwap_cross
BIOCON,orb_vwap,MIS,2026-06-05 10:30:00,2026-06-05 12:35:00,416.2,418.45,72,-162.0,-193.88,-0.66,vwap_cross
AUROPHARMA,orb_vwap,MIS,2026-06-05 10:35:00,2026-06-05 15:15:00,1472.2,1463.0,20,184.0,152.89,0.72,forced_close
ICICIAMC,orb_vwap,MIS,2026-06-05 10:35:00,2026-06-05 12:15:00,3323.2,3342.1,9,-170.1,-201.93,-0.77,vwap_cross
GROWW,orb_vwap,MIS,2026-06-05 11:00:00,2026-06-05 13:10:00,196.3,194.75,152,-235.6,-267.09,-0.73,vwap_cross
POLICYBZR,orb_vwap,MIS,2026-06-05 11:55:00,2026-06-05 12:50:00,1552.0,1530.2,19,-414.2,-445.21,-1.39,vwap_cross
GRASIM,orb_vwap,MIS,2026-06-08 09:30:00,2026-06-08 09:45:00,3066.2,3051.0,9,-136.8,-165.98,-1.85,vwap_cross
