symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
LTM,stage1,MIS,2024-08-29 00:00:00,2024-08-29 00:00:00,6114.0,6132.1,4,72.4,46.42,,session_close
WIPRO,stage1,MIS,2024-08-29 00:00:00,2024-08-29 00:00:00,255.7,257.45,117,204.75,172.89,,session_close
AUBANK,stage1,MIS,2024-09-02 00:00:00,2024-09-02 00:00:00,684.95,680.8,43,-178.45,-209.57,,session_close
CIPLA,stage1,MIS,2024-09-02 00:00:00,2024-09-02 00:00:00,1669.0,1646.65,17,-379.95,-409.79,,session_close
PAYTM,stage1,MIS,2024-09-02 00:00:00,2024-09-02 00:00:00,619.0,607.85,48,-535.2,-566.37,,session_close
RADICO,stage1,MIS,2024-09-02 00:00:00,2024-09-02 00:00:00,1982.0,2010.5,15,427.5,395.7,,session_close
RVNL,stage1,MIS,2024-09-02 00:00:00,2024-09-02 00:00:00,610.5,601.2,49,-455.7,-487.13,,session_close
ADANIGREEN,stage1,MIS,2024-09-03 00:00:00,2024-09-03 00:00:00,1947.0,1897.9,15,-736.5,-767.0,,session_close
BAJAJ-AUTO,stage1,MIS,2024-09-03 00:00:00,2024-09-03 00:00:00,10831.5,10770.5,2,-122.0,-144.89,,session_close
BAJAJHLDNG,stage1,MIS,2024-09-03 00:00:00,2024-09-03 00:00:00,10600.0,10903.9,2,607.8,584.93,,session_close
BAJFINANCE,stage1,MIS,2024-09-03 00:00:00,2024-09-03 00:00:00,746.0,735.5,40,-420.0,-451.37,,session_close
JIOFIN,stage1,MIS,2024-09-03 00:00:00,2024-09-03 00:00:00,351.0,350.2,85,-68.0,-99.6,,session_close
BAJAJHLDNG,stage1,MIS,2024-09-04 00:00:00,2024-09-04 00:00:00,10625.0,11067.7,2,885.4,862.3,,session_close
SBILIFE,stage1,MIS,2024-09-04 00:00:00,2024-09-04 00:00:00,1910.0,1912.2,15,33.0,2.6,,session_close
ASIANPAINT,stage1,MIS,2024-09-05 00:00:00,2024-09-05 00:00:00,3240.0,3238.25,9,-15.75,-46.66,,session_close
BIOCON,stage1,MIS,2024-09-05 00:00:00,2024-09-05 00:00:00,385.0,382.85,77,-165.55,-196.88,,session_close
HINDPETRO,stage1,MIS,2024-09-05 00:00:00,2024-09-05 00:00:00,434.9,437.05,68,146.2,114.75,,session_close
MAZDOCK,stage1,MIS,2024-09-05 00:00:00,2024-09-05 00:00:00,2411.0,2289.55,12,-1457.4,-1487.15,,session_close
COFORGE,stage1,MIS,2024-09-06 00:00:00,2024-09-06 00:00:00,1310.0,1325.0,22,330.0,299.23,,session_close
DMART,stage1,MIS,2024-09-06 00:00:00,2024-09-06 00:00:00,5293.0,5303.45,5,52.25,24.15,,session_close
TITAN,stage1,MIS,2024-09-06 00:00:00,2024-09-06 00:00:00,3714.95,3695.5,8,-155.6,-187.02,,session_close
GODFRYPHLP,stage1,MIS,2024-09-09 00:00:00,2024-09-09 00:00:00,2372.0,2281.0,12,-1092.0,-1121.49,,session_close
BLUESTARCO,stage1,MIS,2024-09-10 00:00:00,2024-09-10 00:00:00,1811.35,1799.95,16,-182.4,-213.02,,session_close
DABUR,stage1,MIS,2024-09-10 00:00:00,2024-09-10 00:00:00,669.35,665.25,44,-180.4,-211.52,,session_close
UNITDSPR,stage1,MIS,2024-09-10 00:00:00,2024-09-10 00:00:00,1518.55,1508.2,19,-196.65,-227.12,,session_close
COFORGE,stage1,MIS,2024-09-11 00:00:00,2024-09-11 00:00:00,1361.5,1368.0,22,143.0,111.14,,session_close
DIVISLAB,stage1,MIS,2024-09-11 00:00:00,2024-09-11 00:00:00,5405.0,5439.3,5,171.5,142.73,,session_close
INDHOTEL,stage1,MIS,2024-09-11 00:00:00,2024-09-11 00:00:00,694.95,684.75,43,-438.6,-470.01,,session_close
LTF,stage1,MIS,2024-09-11 00:00:00,2024-09-11 00:00:00,172.9,166.25,173,-1150.45,-1181.43,,session_close
TATACOMM,stage1,MIS,2024-09-11 00:00:00,2024-09-11 00:00:00,2010.0,1982.65,14,-382.9,-412.5,,session_close
TATAPOWER,stage1,MIS,2024-09-11 00:00:00,2024-09-11 00:00:00,445.9,435.65,67,-686.75,-717.99,,session_close
ASIANPAINT,stage1,MIS,2024-09-12 00:00:00,2024-09-12 00:00:00,3370.0,3383.25,8,106.0,77.34,,session_close
BAJAJ-AUTO,stage1,MIS,2024-09-12 00:00:00,2024-09-12 00:00:00,11197.0,11433.5,2,473.0,448.95,,session_close
ADANIPORTS,stage1,MIS,2024-09-13 00:00:00,2024-09-13 00:00:00,1472.95,1452.1,20,-417.0,-447.97,,session_close
APOLLOHOSP,stage1,MIS,2024-09-13 00:00:00,2024-09-13 00:00:00,7096.2,7019.15,4,-308.2,-338.1,,session_close
