symbol,stage,entry_time,exit_time,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
TCS,stage1,2018-09-05 00:00:00,2018-09-05 00:00:00,2100.0,2079.25,14,-290.5,,session_close
BIOCON,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,313.5,331.45,95,1705.25,,session_close
CAPLIPOINT,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,503.4,498.1,59,-312.7,,session_close
CYIENT,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,774.9,771.7,38,-121.6,,session_close
IRB,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,9.0,8.9,3333,-333.3,,session_close
MUTHOOTFIN,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,442.0,450.85,67,592.95,,session_close
SYNGENE,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,312.45,311.85,96,-57.6,,session_close
USHAMART,stage1,2018-09-06 00:00:00,2018-09-06 00:00:00,31.8,32.75,943,895.85,,session_close
AUROPHARMA,stage1,2018-09-07 00:00:00,2018-09-07 00:00:00,763.0,800.85,39,1476.15,,session_close
BIOCON,stage1,2018-09-07 00:00:00,2018-09-07 00:00:00,332.0,330.65,90,-121.5,,session_close
GODFRYPHLP,stage1,2018-09-07 00:00:00,2018-09-07 00:00:00,306.0,317.0,98,1078.0,,session_close
GRANULES,stage1,2018-09-07 00:00:00,2018-09-07 00:00:00,121.5,121.4,246,-24.6,,session_close
ICICIGI,stage1,2018-09-07 00:00:00,2018-09-07 00:00:00,854.7,875.5,35,728.0,,session_close
PERSISTENT,stage1,2018-09-07 00:00:00,2018-09-07 00:00:00,426.5,434.8,70,581.0,,session_close
ALKEM,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,2201.25,2136.8,13,-837.85,,session_close
BAJAJ-AUTO,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,2851.5,2797.5,10,-540.0,,session_close
DCMSHRIRAM,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,391.0,384.35,76,-505.4,,session_close
HBLENGINE,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,34.25,34.1,875,-131.25,,session_close
HEROMOTOCO,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,3153.85,3100.5,9,-480.15,,session_close
HAL,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,461.0,465.2,65,273.0,,session_close
ICICIGI,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,875.5,914.15,34,1314.1,,session_close
INDIGO,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,908.0,890.15,33,-589.05,,session_close
JUBLPHARMA,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,820.05,805.95,36,-507.6,,session_close
LUPIN,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,965.0,944.4,31,-638.6,,session_close
MUTHOOTFIN,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,468.8,453.35,63,-973.35,,session_close
NBCC,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,47.33,45.97,633,-860.88,,session_close
SAREGAMA,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,58.0,58.7,517,361.9,,session_close
TEJASNET,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,319.9,310.35,93,-888.15,,session_close
USHAMART,stage1,2018-09-10 00:00:00,2018-09-10 00:00:00,35.25,33.85,851,-1191.4,,session_close
CIEINDIA,stage1,2018-09-11 00:00:00,2018-09-11 00:00:00,301.85,282.65,99,-1900.8,,session_close
GLAXO,stage1,2018-09-11 00:00:00,2018-09-11 00:00:00,1755.3,1705.1,17,-853.4,,session_close
CARBORUNIV,stage1,2018-09-12 00:00:00,2018-09-12 00:00:00,390.0,387.75,76,-171.0,,session_close
ABB,stage1,2018-09-14 00:00:00,2018-09-14 00:00:00,1145.5,1132.5,26,-338.0,,session_close
BALRAMCHIN,stage1,2018-09-14 00:00:00,2018-09-14 00:00:00,79.6,88.65,376,3402.8,,session_close
NAVINFLUOR,stage1,2018-09-14 00:00:00,2018-09-14 00:00:00,752.0,762.65,39,415.35,,session_close
SCHNEIDER,stage1,2018-09-14 00:00:00,2018-09-14 00:00:00,124.3,122.65,241,-397.65,,session_close
BPCL,stage1,2018-09-17 00:00:00,2018-09-17 00:00:00,153.15,158.25,195,994.5,,session_close
DEEPAKNTR,stage1,2018-09-17 00:00:00,2018-09-17 00:00:00,272.7,267.5,110,-572.0,,session_close
