symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
TIINDIA,stage1+2,MIS,2026-06-09 12:00:00,2026-06-09 12:05:00,3169.7,3159.0392857142856,9,-95.95,-126.14,-1.0,stop
HDFCAMC,stage1+2,MIS,2026-06-15 10:30:00,2026-06-15 12:55:00,2586.4,2615.557142857143,11,320.73,290.35,2.36,stop
INDIGO,stage1+2,MIS,2026-06-15 10:30:00,2026-06-15 10:50:00,4933.0,4915.185714285714,6,-106.89,-138.2,-0.68,stop
MOTILALOFS,stage1+2,MIS,2026-06-15 12:50:00,2026-06-15 13:00:00,941.1,938.6,31,-77.5,-108.39,-0.67,stop
BAJAJFINSV,stage1+2,MIS,2026-06-16 10:45:00,2026-06-16 11:05:00,1795.2,1791.6964285714284,16,-56.06,-86.48,-0.35,stop
DMART,stage1+2,MIS,2026-06-17 10:30:00,2026-06-17 11:15:00,4246.2,4233.321428571428,7,-90.15,-121.61,-0.8,stop
DIXON,stage1+2,MIS,2026-06-17 10:40:00,2026-06-17 11:45:00,12851,12814.82142857143,2,-72.36,-99.57,-0.49,stop
TRENT,stage1+2,MIS,2026-06-17 10:50:00,2026-06-17 12:25:00,3027.0,3038.025,9,99.23,70.27,0.65,stop
BHARATFORG,stage1+2,MIS,2026-06-23 10:30:00,2026-06-23 11:35:00,2136.0,2144.057142857143,14,112.8,81.02,0.92,stop
INDIGO,stage1+2,MIS,2026-06-25 10:40:00,2026-06-25 11:30:00,5436.6,5423.464285714286,5,-65.68,-94.46,-0.43,stop
MARUTI,stage1+2,MIS,2026-06-25 10:40:00,2026-06-25 12:10:00,13752,13819.607142857143,2,135.21,105.96,0.96,stop
TVSMOTOR,stage1+2,MIS,2026-06-25 10:40:00,2026-06-25 11:40:00,3549.7,3585.842857142857,8,289.14,258.84,2.2,stop
SOLARINDS,stage1+2,MIS,2026-06-30 12:45:00,2026-06-30 13:35:00,18555,18579.821428571428,1,24.82,5.13,0.27,stop
MCX,stage1+2,MIS,2026-07-01 10:30:00,2026-07-01 11:00:00,2984.0,2964.925,10,-190.75,-222.27,-0.76,stop
PHOENIXLTD,stage1+2,MIS,2026-07-01 10:45:00,2026-07-01 11:05:00,1983.9,1983.5,15,-6.0,-37.55,-0.05,stop
UPL,stage1+2,MIS,2026-07-03 10:45:00,2026-07-03 11:05:00,608.0,607.8482142857142,49,-7.44,-39.03,-0.06,stop
LODHA,stage1+2,MIS,2026-07-03 10:45:00,2026-07-03 11:00:00,1052.95,1047.6839285714286,28,-147.45,-178.62,-0.83,stop
AUBANK,stage1+2,MIS,2026-07-06 10:30:00,2026-07-06 11:35:00,1081.1,1075.3428571428572,27,-155.44,-186.3,-0.88,stop
HDFCBANK,stage1+2,MIS,2026-07-06 10:30:00,2026-07-06 15:15:00,822.6,829.6,36,252.0,220.43,2.21,forced_close
JUBLFOOD,stage1+2,MIS,2026-07-07 12:10:00,2026-07-07 12:20:00,453.0,451.63928571428573,66,-89.81,-121.46,-1.0,stop
KALYANKJIL,stage1+2,MIS,2026-07-09 10:30:00,2026-07-09 11:20:00,418.05,433.01428571428573,71,1062.46,1030.31,2.14,stop
SWIGGY,stage1+2,MIS,2026-07-09 11:00:00,2026-07-09 11:10:00,279.3,277.47607142857146,107,-195.16,-226.73,-0.9,stop
DIXON,stage1+2,MIS,2026-07-09 14:35:00,2026-07-09 14:40:00,13573,13544.17857142857,2,-57.64,-86.39,-1.0,stop
PAYTM,stage1+2,MIS,2026-07-10 10:35:00,2026-07-10 13:05:00,1315.9,1340.2392857142856,22,535.46,504.42,2.49,stop
KALYANKJIL,stage1+2,MIS,2026-07-10 11:40:00,2026-07-10 12:00:00,477.3,478.8053571428572,62,93.33,61.89,0.37,stop
BIOCON,stage1+2,MIS,2026-07-14 10:30:00,2026-07-14 12:25:00,438.15,440.0964285714286,68,132.36,100.68,0.44,stop
UNITDSPR,stage1+2,MIS,2026-07-27 10:35:00,2026-07-27 11:20:00,1494.8,1496.2142857142858,20,28.29,-3.44,0.19,stop
GODFRYPHLP,stage1+2,MIS,2026-07-27 10:40:00,2026-07-27 11:15:00,2210.4,2212.735714285714,13,30.36,-0.13,0.11,stop
LTM,stage1+2,MIS,2026-07-28 10:35:00,2026-07-28 11:30:00,4370.5,4356.021428571429,6,-86.87,-114.62,-0.47,stop
TCS,stage1+2,MIS,2026-07-28 10:35:00,2026-07-28 12:30:00,2396.4,2405.4964285714286,12,109.16,78.59,0.76,stop
COFORGE,stage1+2,MIS,2026-07-28 13:15:00,2026-07-28 14:05:00,1682.0,1678.5571428571427,17,-58.53,-88.81,-0.57,stop
HYUNDAI,stage1+2,MIS,2026-07-31 10:30:00,2026-07-31 11:40:00,2185.0,2189.4857142857145,13,58.31,28.15,0.24,stop
M&M,stage1+2,MIS,2026-07-31 10:40:00,2026-07-31 11:30:00,3395.0,3408.9964285714286,8,111.97,83.1,0.61,stop
BAJFINANCE,stage1+2,MIS,2026-07-31 12:45:00,2026-07-31 12:50:00,1140.0,1135.682142857143,26,-112.26,-143.62,-1.0,stop
