symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
ADANIGREEN,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,1925.0,1886.8,14,-534.8,-610.07,-0.19,max_hold_exit
HCLTECH,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,1686.0,1711.6,27,691.2,573.38,0.23,max_hold_exit
HINDPETRO,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,386.3,394.0,74,569.8,489.75,0.19,max_hold_exit
ICICIGI,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,2070.0,2153.35,18,1500.3,1400.01,0.52,max_hold_exit
JIOFIN,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,335.9,323.6,109,-1340.7,-1436.61,-0.45,max_hold_exit
KEI,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,4715.45,4546.2,6,-1015.5,-1093.26,-0.37,max_hold_exit
MPHASIS,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,2864.5,2896.9,10,324.0,244.07,0.12,max_hold_exit
PERSISTENT,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,4935.0,4909.55,6,-152.7,-234.28,-0.06,max_hold_exit
TCS,swing,CNC,2024-08-21 00:00:00,2024-08-27 00:00:00,4518.0,4497.15,10,-208.5,-324.62,-0.08,max_hold_exit
ASHOKLEY,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,130.1,130.2,288,28.8,-70.43,0.01,max_hold_exit
ASIANPAINT,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,3167.0,3125.5,15,-622.5,-743.36,-0.21,max_hold_exit
AXISBANK,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,1179.7,1170.95,47,-411.25,-549.98,-0.14,max_hold_exit
BAJAJHLDNG,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,9740.0,9972.45,4,929.8,826.32,0.32,max_hold_exit
BPCL,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,337.7,331.55,102,-627.3,-719.13,-0.21,max_hold_exit
COALINDIA,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,501.45,494.25,64,-460.8,-547.58,-0.16,max_hold_exit
NYKAA,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,213.9,217.15,84,273.0,216.85,0.09,max_hold_exit
OFSS,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,10572.5,10380.5,2,-384.0,-446.53,-0.17,max_hold_exit
SUPREMEIND,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,5649.5,5376.1,5,-1367.0,-1444.29,-0.52,max_hold_exit
TITAN,swing,CNC,2024-08-22 00:00:00,2024-08-28 00:00:00,3574.95,3527.5,13,-616.85,-735.43,-0.21,max_hold_exit
BLUESTARCO,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,1759.7,1695.9,14,-893.2,-962.96,-0.3,max_hold_exit
BRITANNIA,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,5837.0,5831.4,8,-44.8,-164.46,-0.02,max_hold_exit
HINDALCO,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,690.05,700.5,47,491.15,402.63,0.16,max_hold_exit
INFY,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,1838.4,1892.4,26,1404.0,1280.39,0.47,max_hold_exit
LTM,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,5691.0,6132.1,6,2646.6,2552.04,1.03,max_hold_exit
M&MFIN,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,291.3,291.0,115,-34.5,-124.85,-0.01,max_hold_exit
MARICO,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,682.95,660.75,54,-1198.8,-1295.45,-0.4,max_hold_exit
MOTILALOFS,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,703.85,725.45,32,691.2,624.5,0.24,max_hold_exit
RADICO,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,1780.0,1817.6,20,752.0,656.17,0.26,max_hold_exit
SBILIFE,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,1789.5,1843.7,20,1084.0,987.41,0.38,max_hold_exit
UPL,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,560.85,554.25,60,-396.0,-486.31,-0.13,max_hold_exit
VEDL,swing,CNC,2024-08-23 00:00:00,2024-08-29 00:00:00,222.1,223.75,145,239.25,151.5,0.08,max_hold_exit
BANKBARODA,swing,CNC,2024-08-26 00:00:00,2024-08-30 00:00:00,237.15,234.2,180,-531.0,-641.25,-0.18,max_hold_exit
CGPOWER,swing,CNC,2024-08-26 00:00:00,2024-08-30 00:00:00,755.45,697.6464285714285,37,-2138.73,-2214.57,-0.72,chandelier_stop
HDFCLIFE,swing,CNC,2024-08-26 00:00:00,2024-08-30 00:00:00,734.0,738.7,48,225.6,131.13,0.08,max_hold_exit
INDIGO,swing,CNC,2024-08-26 00:00:00,2024-08-30 00:00:00,4718.0,4830.0,9,1008.0,896.66,0.34,max_hold_exit
JSWSTEEL,swing,CNC,2024-08-26 00:00:00,2024-08-30 00:00:00,945.5,941.1,42,-184.8,-288.79,-0.06,max_hold_exit
KOTAKBANK,swing,CNC,2024-08-26 00:00:00,2024-08-30 00:00:00,364.0,356.2,176,-1372.8,-1529.69,-0.46,max_hold_exit
TATAELXSI,swing,CNC,2024-08-26 00:00:00,2024-08-26 00:00:00,7149.0,7387.2071428571435,7,1667.45,1538.57,0.58,chandelier_stop
BAJAJFINSV,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,1686.2,1840.55,31,4784.85,4647.79,1.64,max_hold_exit
BHARTIARTL,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,1518.0,1571.35,32,1707.2,1581.54,0.57,max_hold_exit
DABUR,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,655.0,636.65,73,-1339.55,-1460.36,-0.45,max_hold_exit
INDHOTEL,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,667.05,655.9,56,-624.4,-722.7,-0.21,max_hold_exit
INDUSTOWER,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,434.7,438.95,99,420.75,308.74,0.14,max_hold_exit
KALYANKJIL,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,619.0,639.85,36,750.6,684.37,0.25,max_hold_exit
MOTHERSON,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,132.1,128.81,240,-789.6,-875.17,-0.26,max_hold_exit
RELIANCE,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,1510.5,1516.25,52,299.0,108.2,0.1,max_hold_exit
TATACONSUM,swing,CNC,2024-08-27 00:00:00,2024-09-02 00:00:00,1220.0,1199.7,44,-893.2,-1027.51,-0.3,max_hold_exit
ABB,swing,CNC,2024-08-28 00:00:00,2024-09-03 00:00:00,7929.95,7767.9,4,-648.2,-733.95,-0.22,max_hold_exit
BAJFINANCE,swing,CNC,2024-08-28 00:00:00,2024-09-03 00:00:00,687.5,735.5,96,4608.0,4440.61,1.54,max_hold_exit
ICICIBANK,swing,CNC,2024-08-28 00:00:00,2024-09-03 00:00:00,1222.65,1247.7,50,1252.5,1099.41,0.43,max_hold_exit
PIIND,swing,CNC,2024-08-28 00:00:00,2024-09-03 00:00:00,4458.0,4539.8,8,654.4,558.53,0.22,max_hold_exit
SBICARD,swing,CNC,2024-08-28 00:00:00,2024-09-03 00:00:00,739.8,766.05,87,2283.75,2122.41,0.77,max_hold_exit
TATAINVEST,swing,CNC,2024-08-28 00:00:00,2024-08-28 00:00:00,750.0,724.2857142857142,45,-1157.14,-1246.88,-0.39,chandelier_stop
TIINDIA,swing,CNC,2024-08-28 00:00:00,2024-09-03 00:00:00,4167.1,4085.55,9,-733.95,-832.47,-0.25,max_hold_exit
CHOLAFIN,swing,CNC,2024-08-29 00:00:00,2024-09-04 00:00:00,1443.0,1487.3,24,1063.2,969.2,0.36,max_hold_exit
DIVISLAB,swing,CNC,2024-08-29 00:00:00,2024-09-04 00:00:00,5049.9,5096.6,7,326.9,232.07,0.12,max_hold_exit
EICHERMOT,swing,CNC,2024-08-29 00:00:00,2024-09-04 00:00:00,4946.85,4833.55,11,-1246.3,-1381.87,-0.42,max_hold_exit
GODREJCP,swing,CNC,2024-08-29 00:00:00,2024-09-04 00:00:00,1484.7,1475.3,26,-244.4,-345.87,-0.08,max_hold_exit
JSWENERGY,swing,CNC,2024-08-29 00:00:00,2024-09-04 00:00:00,740.0,682.9285714285714,42,-2397.0,-2479.52,-0.81,chandelier_stop
LAURUSLABS,swing,CNC,2024-08-30 00:00:00,2024-09-05 00:00:00,457.55,489.0,91,2861.95,2750.52,0.96,max_hold_exit
PFC,swing,CNC,2024-08-30 00:00:00,2024-09-05 00:00:00,554.8,558.25,70,241.5,139.01,0.08,max_hold_exit
AUBANK,swing,CNC,2024-09-02 00:00:00,2024-09-06 00:00:00,684.95,703.0,62,1119.1,1007.63,0.38,max_hold_exit
BIOCON,swing,CNC,2024-09-02 00:00:00,2024-09-06 00:00:00,368.0,373.7,109,621.3,515.58,0.21,max_hold_exit
COFORGE,swing,CNC,2024-09-02 00:00:00,2024-09-06 00:00:00,1269.0,1325.0,33,1848.0,1737.09,0.63,max_hold_exit
HEROMOTOCO,swing,CNC,2024-09-02 00:00:00,2024-09-06 00:00:00,5399.5,5603.15,7,1425.55,1324.14,0.51,max_hold_exit
INDUSINDBK,swing,CNC,2024-09-02 00:00:00,2024-09-06 00:00:00,1425.25,1409.35,43,-683.7,-835.13,-0.23,max_hold_exit
RVNL,swing,CNC,2024-09-02 00:00:00,2024-09-06 00:00:00,610.5,565.6607142857143,40,-1793.57,-1861.92,-0.61,chandelier_stop
JIOFIN,swing,CNC,2024-09-03 00:00:00,2024-09-09 00:00:00,351.0,341.7,100,-930.0,-1022.97,-0.31,max_hold_exit
SOLARINDS,swing,CNC,2024-09-03 00:00:00,2024-09-09 00:00:00,11175.0,10881.5,3,-880.5,-970.03,-0.3,max_hold_exit
TATACOMM,swing,CNC,2024-09-03 00:00:00,2024-09-09 00:00:00,1965.2,1925.85,26,-1023.1,-1151.53,-0.35,max_hold_exit
CUMMINSIND,swing,CNC,2024-09-04 00:00:00,2024-09-09 00:00:00,3800.0,3670.0750000000003,13,-1689.02,-1812.99,-0.59,chandelier_stop
IDFCFIRSTB,swing,CNC,2024-09-04 00:00:00,2024-09-10 00:00:00,73.0,72.59,728,-298.48,-432.21,-0.1,max_hold_exit
MFSL,swing,CNC,2024-09-04 00:00:00,2024-09-10 00:00:00,1120.0,1136.2,26,421.2,340.12,0.14,max_hold_exit
RECLTD,swing,CNC,2024-09-04 00:00:00,2024-09-09 00:00:00,618.0,587.2928571428571,66,-2026.67,-2131.15,-0.68,chandelier_stop
PIDILITIND,swing,CNC,2024-09-05 00:00:00,2024-09-11 00:00:00,1607.5,1627.2,38,748.6,596.14,0.26,max_hold_exit
PRESTIGE,swing,CNC,2024-09-05 00:00:00,2024-09-11 00:00:00,1870.0,1789.25,12,-969.0,-1033.8,-0.34,max_hold_exit
TIINDIA,swing,CNC,2024-09-05 00:00:00,2024-09-11 00:00:00,4135.0,3919.65,9,-1938.15,-2034.78,-0.67,max_hold_exit
360ONE,swing,CNC,2024-09-06 00:00:00,2024-09-12 00:00:00,1119.65,1108.15,29,-333.5,-421.25,-0.11,max_hold_exit
SRF,swing,CNC,2024-09-06 00:00:00,2024-09-12 00:00:00,2618.55,2488.2,18,-2346.3,-2464.55,-0.82,max_hold_exit
BLUESTARCO,swing,CNC,2024-09-09 00:00:00,2024-09-13 00:00:00,1737.7,1888.0,18,2705.4,2617.15,0.92,max_hold_exit
JSWENERGY,swing,CNC,2024-09-10 00:00:00,2024-09-16 00:00:00,738.0,771.6,41,1377.6,1293.0,0.47,max_hold_exit
MARICO,swing,CNC,2024-09-12 00:00:00,2024-09-18 00:00:00,683.45,695.3,61,722.85,613.52,0.24,max_hold_exit
BOSCHLTD,swing,CNC,2024-09-13 00:00:00,2024-09-19 00:00:00,34419.95,34436.85,1,16.9,-75.54,0.01,max_hold_exit
CUMMINSIND,swing,CNC,2024-09-13 00:00:00,2024-09-19 00:00:00,3848.0,3727.8,11,-1322.2,-1430.83,-0.48,max_hold_exit
GVT&D,swing,CNC,2024-09-13 00:00:00,2024-09-19 00:00:00,1768.0,1606.85,12,-1933.8,-1994.88,-0.67,max_hold_exit
JINDALSTEL,swing,CNC,2024-09-13 00:00:00,2024-09-19 00:00:00,1010.1,1002.8,41,-299.3,-406.96,-0.1,max_hold_exit
